# key	名前	場所	よみ	Commons の検索語	解説	緯度	経度
shiretoko	知床	日本・北海道	しれとこ	Shiretoko Peninsula	北海道の東のはしにある半島。ヒグマやシャチなど たくさんの野生動物がすみ、世界自然遺産になっている。	44.07	145.10
goryokaku	五稜郭	日本・北海道・函館	ごりょうかく	Goryokaku fort aerial	星の形をした 江戸時代の終わりの城。春には約1500本の桜がさき、タワーから星形がよく見える。	41.797	140.757
otaru	小樽運河	日本・北海道・小樽	おたるうんが	Otaru Canal	1923年にできた運河。石造りの倉庫がならび、夕方にはガス灯がともる。	43.199	141.000
furano	富良野のラベンダー畑	日本・北海道	ふらののらべんだーばたけ	Furano lavender field	7月に紫色のラベンダーが一面にさく。北海道のまん中にあり「へそのまち」ともよばれる。	43.42	142.43
biei	美瑛の丘	日本・北海道	びえいのおか	Biei hills	ゆるやかな丘が波のようにつづく風景。畑の色がパッチワークのように見える。	43.59	142.47
hirosaki	弘前城	日本・青森・弘前	ひろさきじょう	Hirosaki Castle cherry blossoms	江戸時代の天守が残る城。春の桜まつりでは 約2600本の桜がさき、お堀が花びらでピンクにそまる。	40.608	140.464
oirase	奥入瀬渓流	日本・青森	おいらせけいりゅう	Oirase Stream	十和田湖から流れ出す 約14kmの渓流。苔むした岩と いくつもの滝がつづき、秋は紅葉がきれい。	40.58	140.95
towada	十和田湖	日本・青森・秋田	とわだこ	Lake Towada	青森と秋田にまたがる火山の湖。深さは約327mで日本で3番目。	40.47	140.87
chusonji	中尊寺	日本・岩手・平泉	ちゅうそんじ	Chusonji temple	平安時代に奥州藤原氏が建てた寺。金色堂は全体が金ぱくでかざられていて、世界遺産になっている。	39.001	141.099
matsushima	松島	日本・宮城	まつしま	Matsushima bay islands	260あまりの小さな島がうかぶ湾。日本三景の一つで、松がはえた島々を船からながめられる。	38.37	141.06
yamadera	山寺	日本・山形	やまでら	Yamadera Risshakuji	正しくは立石寺。1015段の石段を登った先に お堂がある。松尾芭蕉が「閑さや岩にしみ入る蝉の声」とよんだ。	38.31	140.44
zao	蔵王の樹氷	日本・山形	ざおうのじゅひょう	Zao juhyo snow monsters	冬に木が雪と氷におおわれてできる「スノーモンスター」。ロープウェイからながめられる。	38.13	140.44
ginzan	銀山温泉	日本・山形	ぎんざんおんせん	Ginzan Onsen street	大正時代の木造の旅館が川ぞいにならぶ温泉街。雪の日にガス灯がともる風景が人気。	38.57	140.53
kakunodate	角館の武家屋敷	日本・秋田	かくのだてのぶけやしき	Kakunodate samurai district	江戸時代の武士の家が残る町。春はしだれ桜が通りをおおい「みちのくの小京都」とよばれる。	39.60	140.56
tsuruga	鶴ヶ城	日本・福島・会津若松	つるがじょう	Tsuruga Castle Aizuwakamatsu	会津若松のシンボルの城。幕末の戊辰戦争で一か月こもって戦った。赤い瓦の天守は日本でめずらしい。	37.488	139.930
ouchijuku	大内宿	日本・福島	おおうちじゅく	Ouchi-juku	江戸時代の宿場町。かやぶき屋根の家が道の両側にならび、ねぎ1本で食べる「ねぎそば」で有名。	37.334	139.861
sensoji	浅草寺	日本・東京	せんそうじ	Sensoji Kaminarimon	東京でいちばん古い寺。入り口の雷門には 大きな赤いちょうちんが下がり、仲見世通りには お店がならぶ。	35.7148	139.7967
meiji	明治神宮	日本・東京	めいじじんぐう	Meiji Shrine	明治天皇をまつる神社。都会のまん中にありながら 約10万本の木がしげる森に包まれている。	35.676	139.699
shibuya	渋谷スクランブル交差点	日本・東京	しぶやすくらんぶるこうさてん	Shibuya Crossing	一度に3000人が横断するといわれる 世界でいちばん有名な交差点。信号が変わると人が四方から歩き出す。	35.6595	139.7005
tokyostation	東京駅	日本・東京	とうきょうえき	Tokyo Station Marunouchi	1914年にできた赤レンガの駅。丸の内側の駅舎は 戦争でこわれた屋根を2012年に元の姿にもどした。	35.6812	139.7671
kokyo	皇居	日本・東京	こうきょ	Imperial Palace Tokyo Nijubashi	天皇のすまい。江戸城のあとに建てられ、二重橋や石垣、広いお堀が残っている。	35.685	139.753
minatomirai	横浜みなとみらい	日本・神奈川・横浜	よこはまみなとみらい	Minato Mirai 21	港のそばの新しい街。高さ296mのランドマークタワーや 大観覧車があり、赤レンガ倉庫も近い。	35.455	139.632
enoshima	江の島	日本・神奈川	えのしま	Enoshima island	湘南の海にうかぶ小さな島。橋でわたれて、展望灯台からは富士山が見える。	35.30	139.48
ashinoko	芦ノ湖	日本・神奈川・箱根	あしのこ	Lake Ashi Mount Fuji	箱根にある火山の湖。海賊船の形の遊覧船が走り、湖の向こうに富士山が見える。	35.21	139.00
kegon	華厳の滝	日本・栃木・日光	けごんのたき	Kegon Falls	高さ97mを一気に落ちる滝。中禅寺湖の水が流れ落ちていて、日本三名瀑の一つ。	36.741	139.503
kusatsu	草津温泉	日本・群馬	くさつおんせん	Kusatsu Onsen Yubatake	日本を代表する温泉の一つ。まん中の「湯畑」から 毎分4000リットルの湯がわき出している。	36.622	138.596
fukuroda	袋田の滝	日本・茨城	ふくろだのたき	Fukuroda Falls	高さ120m、幅73mの大きな滝。4段に分かれて落ちるので「四度の滝」ともよばれ、冬はこおる。	36.767	140.409
matsumoto	松本城	日本・長野・松本	まつもとじょう	Matsumoto Castle	黒い壁から「烏城」とよばれる城。天守は約400年前のもので、国宝。うしろに北アルプスが見える。	36.238	137.969
zenkoji	善光寺	日本・長野	ぜんこうじ	Zenkoji	約1400年の歴史をもつ寺。宗派をこえて だれでもお参りでき、暗い回廊を歩く「お戒壇めぐり」で知られる。	36.662	138.188
kamikochi	上高地	日本・長野	かみこうち	Kamikochi Kappabashi	北アルプスのふもとの高原。梓川にかかる河童橋から 穂高の山々が見える。車では入れない。	36.25	137.64
yukinootani	雪の大谷	日本・富山	ゆきのおおたに	Tateyama Yuki no Otani snow wall	立山黒部アルペンルートの春の名物。道の両側に高さ20m近い雪の壁がそびえる。	36.577	137.596
kurobe	黒部ダム	日本・富山	くろべだむ	Kurobe Dam	高さ186mで日本一高いダム。7年かけて造られ、夏には毎秒10トン以上の水を放水する。	36.567	137.664
kenrokuen	兼六園	日本・石川・金沢	けんろくえん	Kenrokuen	加賀の殿様が作った庭園。日本三名園の一つ。冬は雪から木を守る「雪づり」の風景が有名。	36.562	136.663
senmaida	白米千枚田	日本・石川・能登	しろよねせんまいだ	Shiroyone Senmaida	海にむかう斜面に 1000枚以上の小さな田んぼがならぶ棚田。日本の棚田百選の一つ。	37.36	137.05
tojinbo	東尋坊	日本・福井	とうじんぼう	Tojinbo cliffs	高さ約25mの岩の崖が 1kmつづく。柱のように割れた岩は 世界でも3か所しかないめずらしい形。	36.238	136.126
miho	三保松原	日本・静岡	みほのまつばら	Miho no Matsubara	約3万本の松がつづく海岸。海の向こうに富士山が見え、富士山の世界遺産の一部になっている。	34.998	138.525
kawaguchiko	河口湖	日本・山梨	かわぐちこ	Lake Kawaguchi Fuji	富士五湖の一つ。湖に富士山がうつる「逆さ富士」が見られ、春のしば桜や秋の紅葉も人気。	35.51	138.75
nagoyajo	名古屋城	日本・愛知・名古屋	なごやじょう	Nagoya Castle	徳川家康が建てた城。天守の屋根には 金のしゃちほこが2つのっていて、名古屋のシンボル。	35.185	136.899
inuyama	犬山城	日本・愛知・犬山	いぬやまじょう	Inuyama Castle	木曽川のほとりの小高い丘に建つ城。天守は日本でもっとも古いものの一つで、国宝。	35.388	136.939
takayama	高山の古い町並み	日本・岐阜・高山	たかやまのふるいまちなみ	Hida Takayama old town	江戸時代の商人の家がならぶ町。「飛驒の小京都」とよばれ、朝市や春秋の高山祭でにぎわう。	36.143	137.259
